#    distance           U_x           U_y           U_z
  2.31296e-19      0.622013   3.82063e-19     -0.533392
        0.002      0.859874   2.49588e-19     -0.717364
        0.004       1.09774   -5.8308e-19     -0.901336
        0.006       1.11756   1.44016e-18         -0.88
        0.008       1.11756   2.27283e-18         -0.84
         0.01       1.11756   1.04304e-18          -0.8
        0.012       1.11756  -4.45594e-17         -0.76
        0.014       1.11756  -8.21987e-17         -0.72
        0.016       1.11756    8.7444e-19         -0.68


        0.018       1.11756   1.97735e-16         -0.64
         0.02       1.11756    1.8677e-16          -0.6
        0.022       1.11756   1.87117e-16         -0.56
        0.024       1.11756   8.77945e-17         -0.52
        0.026       1.11756   1.87117e-16         -0.48
        0.028       1.11756   1.87117e-16         -0.44
         0.03       1.11756   8.35661e-17          -0.4
        0.032       1.11756   8.27335e-17         -0.36
        0.034       1.11756   1.31937e-16         -0.32
        0.036       1.11756   1.31937e-16         -0.28
        0.038       1.11756   1.48902e-16         -0.24
         0.04       1.11756   1.49735e-16          -0.2
        0.042       1.11756   1.58034e-16         -0.16
        0.044       1.11756   1.85174e-16         -0.12
        0.046       1.11756   1.83787e-16         -0.08
        0.048       1.11756   1.85452e-16         -0.04
         0.05       1.11756   1.87117e-16   4.62593e-17
        0.052       1.11756   1.87117e-16          0.04
        0.054       1.11756   1.87117e-16          0.08
        0.056       1.11756   2.14643e-16          0.12
        0.058       1.11756   2.34018e-16          0.16
         0.06       1.11756   1.88505e-16           0.2
        0.062       1.11756   2.53341e-16          0.24
        0.064       1.11756    2.7447e-16          0.28
        0.066       1.11756   2.40902e-16          0.32
        0.068       1.11756   1.85938e-16          0.36
         0.07       1.11756   2.94388e-16           0.4
        0.072       1.11756   2.65336e-16          0.44
        0.074       1.11756   3.08688e-16          0.48
        0.076       1.11756   2.71765e-16          0.52
        0.078       1.11756   1.87117e-16          0.56
         0.08       1.11756   2.75109e-16           0.6
        0.082       1.11756   2.74277e-16          0.64
        0.084       1.11756   2.59699e-16          0.68
        0.086       1.11756   1.85383e-16          0.72
        0.088       1.11756   2.72923e-16          0.76
         0.09       1.11756   1.86423e-16           0.8
        0.092       1.11756   1.41823e-16          0.84
        0.094       1.11756   1.87117e-16          0.88
        0.096       1.09774   2.22993e-16      0.901336
        0.098      0.859874   1.87117e-16      0.717364
          0.1      0.622013   2.22993e-16      0.533392
