beta,max_pressure,min_pressure,max_temperature,max_velocity,TV_pressure,TV_temperature,shock_thickness_cells
0.5,100000.0,10000.0,398.32,294.247,92224.39999999997,373.72399999999993,3.999999999999959
1.0,100000.0,10000.0,398.892,294.189,90715.00000000003,373.0440000000002,3.999999999999959
1.5,100000.0,10000.0,399.404,294.258,90736.0,374.2399999999999,3.999999999999959
2.0,100000.0,10000.0,399.785,294.352,91318.79999999999,376.91400000000027,3.999999999999959
3.0,100000.0,10000.0,400.116,294.472,94447.60000000005,385.17200000000025,3.999999999999959
5.0,100000.0,10000.0,400.83,294.605,102926.79999999999,412.0240000000002,3.999999999999959
