Limiter,Max pressure [Pa],Min pressure [Pa],Max temperature [K],Max velocity [m/s],Temp overshoot [K],Velocity overshoot [m/s],TV Pressure,TV Temperature,Shock thickness [cells]
upwind,100000.0,10000.0,399.344,295.964,-0.6560000000000059,0.9639999999999986,90061.0,367.658,9.999999999999964
linear,100000.0,10000.0,430.951,380.624,30.951000000000022,85.62400000000002,116865.60000000002,677.5320000000004,5.999999999999961
Minmod,100000.0,10000.0,398.477,293.941,-1.5230000000000246,-1.059000000000026,90079.99999999999,371.2539999999999,4.999999999999982
vanLeer,100000.0,10000.0,400.082,294.362,0.08199999999999363,-0.6379999999999768,94515.2,390.0820000000002,3.999999999999959
vanAlbada,100000.0,10000.0,398.892,294.189,-1.108000000000004,-0.8109999999999786,90715.00000000003,373.0440000000002,3.999999999999959
SuperBee,100000.0,10000.0,411.665,301.278,11.66500000000002,6.27800000000002,165441.40000000002,636.2480000000006,2.9999999999999805
atharvaLimiter,100000.0,10000.0,400.116,294.472,0.11599999999998545,-0.52800000000002,94447.60000000005,385.17200000000025,3.999999999999959
